alumni_id,roll_number,name,department,batch_year,graduation_year,current_company,current_designation,years_of_experience,total_companies_worked,location,current_salary,career_domain,specialization,total_skills,linkedin_connections,github_contributions,is_mentor,mentees_count,mentor_rating,workshops_conducted,talks_given,publications,patents,open_source_contributions,career_growth_rate,job_satisfaction,willing_to_relocate,preferred_mentee_department,preferred_mentee_skills,availability_hours_per_month,response_time_hours,success_score
246,1747146,Gopal Pillai,CIC,2017,2021,Check Point,Senior Software Engineer,5,2,Bangalore,3016277,Blockchain,Smart Contracts,20,770,28,1,3,4.2,0,2,0,0,1,76,10,0,CIC|ECE,Python|Security|Blockchain,3,10,98
247,1704147,Prakash Sharma,ECE,2017,2021,ON Semi,Senior Software Engineer,5,2,Gurugram,2648989,Hardware Design,VLSI,24,902,95,1,1,4.2,3,1,0,0,2,72,7,0,ECE|CSE,C|Verilog|VLSI|Embedded,3,12,90
248,1749148,Anjali Reddy,CSO,2017,2021,IBM,Principal Engineer,5,1,Bangalore,2207508,Edge Computing,IoT,15,646,99,0,0,0.0,0,0,0,0,0,81,7,1,CSO|AID,Python|IoT|Sensors|Edge,10,0,88
249,1703149,Ashok Reddy,MEC,2017,2021,Daimler,Staff Engineer,5,2,Mumbai,3144688,Automotive,Powertrain,17,494,22,1,5,4.4,4,3,0,1,0,94,7,1,MEC|CSO,SolidWorks|CATIA|ANSYS,3,16,87
250,1742150,Nithya Subramanian,CSM,2017,2021,Waymo,Principal Engineer,5,2,Pune,2935750,AI Research,Machine Learning,20,400,106,1,2,4.8,0,0,1,0,1,89,7,1,CSM|AIML,Python|ML|TensorFlow|PyTorch,3,16,86
251,1754151,Renuka Krishnan,AID,2017,2021,Netflix,Senior Software Engineer,5,1,Gurugram,2357422,Data Science,ML Engineering,23,449,297,1,3,4.9,4,1,1,0,2,80,8,1,AID|EEE,Python|Data Science|SQL|ML,4,12,84
252,1704152,Sowmya Rajan,ECE,2017,2021,Qualcomm,Senior Software Engineer,5,1,Pune,2652208,Hardware Design,VLSI,21,929,10,1,4,4.7,4,0,0,0,3,92,7,1,ECE|CSO,C|Verilog|VLSI|Embedded,7,12,91
253,1702153,Mythili Krishnan,EEE,2017,2021,Enphase,Lead Engineer,5,2,Hyderabad,2463213,Control Systems,Industrial,16,496,74,0,0,0.0,0,0,0,0,2,91,7,1,EEE|CSM,MATLAB|Power Systems|PLC,8,0,89
254,1747154,Mohan Rao,CIC,2017,2021,Palo Alto Networks,Principal Engineer,5,2,Gurugram,2959181,Cyber Security,Threat Intelligence,17,432,97,0,0,0.0,0,0,0,0,1,76,7,1,CIC|CSM,Python|Security|Blockchain,10,0,83
255,1761155,Deepak Subramanian,AIML,2017,2021,Microsoft,Staff Engineer,5,2,Bangalore,2409640,ML Engineering,MLOps,13,357,98,0,0,0.0,0,0,0,0,0,80,8,0,AIML|CIC,Python|Deep Learning|PyTorch,6,0,89
256,1761156,Renuka Nair,AIML,2017,2021,Amazon,Senior Engineer,5,2,Delhi,3139385,ML Engineering,MLOps,19,541,290,1,5,4.9,2,3,0,0,1,73,8,1,AIML|CIC,Python|Deep Learning|PyTorch,6,10,98
257,1704157,Krishna Desai,ECE,2017,2021,Renesas,Lead Engineer,5,2,Mumbai,2601335,Embedded,IoT,24,461,47,0,0,0.0,0,0,0,1,1,69,9,0,ECE|CIC,C|Verilog|VLSI|Embedded,7,0,98
258,1703158,Lavanya Murthy,MEC,2017,2021,GE,Principal Engineer,5,2,Delhi,2322912,Manufacturing,CAD/CAM,19,690,89,1,4,4.4,1,0,0,0,3,70,8,0,MEC|CSO,SolidWorks|CATIA|ANSYS,3,16,90
259,1703159,Venkat Rajan,MEC,2017,2021,Tata Motors,Lead Engineer,5,1,Bangalore,2649382,Automotive,Powertrain,18,351,96,0,0,0.0,0,0,0,0,1,87,6,1,MEC|AID,SolidWorks|CATIA|ANSYS,8,0,92
260,1705160,Renuka Balaji,CSE,2017,2021,Adobe,Principal Engineer,5,1,Hyderabad,2874481,Software Engineering,Full Stack,21,521,252,0,0,0.0,0,0,0,0,2,79,10,1,CSE|CIV,Python|Java|React|AWS,3,0,94
261,1742161,Prakash Krishna,CSM,2017,2021,Nvidia,Senior Engineer,5,1,Chennai,2911721,AI Research,Machine Learning,13,500,55,0,0,0.0,0,0,0,0,1,84,7,1,CSM|AIML,Python|ML|TensorFlow|PyTorch,7,0,88
262,1702162,Srikanth Varma,EEE,2017,2021,Vestas,Senior Software Engineer,5,1,Noida,3016562,Renewable,Solar,18,659,91,1,5,4.7,4,3,0,0,1,71,8,1,EEE|AID,MATLAB|Power Systems|PLC,0,8,88
263,1701163,Arun Subramanian,CIV,2017,2021,Simplex,Lead Engineer,5,2,Pune,2595925,Construction,Project Management,19,753,29,1,4,4.9,2,0,0,0,1,66,8,1,CIV|CSO,AutoCAD|Staad Pro|Revit,8,24,88
264,1701164,Kavya Kumar,CIV,2017,2021,GMR,Lead Engineer,5,2,Gurugram,2903787,Infrastructure,Roads,24,512,34,1,3,4.8,1,1,0,0,1,78,9,0,CIV|CSM,AutoCAD|Staad Pro|Revit,10,24,90
265,1761165,Ravi Gopal,AIML,2017,2021,Uber,Staff Engineer,5,2,Delhi,2443298,AI,NLP,24,554,206,0,0,0.0,0,0,1,0,3,78,10,0,AIML|CSM,Python|Deep Learning|PyTorch,8,0,96
266,1705166,Manoj Krishna,CSE,2017,2021,VMware,Senior Engineer,5,2,Noida,2325496,Cloud Engineering,AWS,12,873,210,1,5,4.4,0,2,0,0,8,68,9,0,CSE|CSM,Python|Java|React|AWS,0,18,85
267,1712167,Srikanth Reddy,IT,2017,2021,Google,Lead Engineer,5,2,Pune,2989528,Database,Oracle,19,896,119,1,4,4.4,2,2,0,0,11,72,10,0,IT|CIC,Python|Kubernetes|Docker|AWS,8,18,88
268,1703168,Rekha Sundaram,MEC,2017,2021,Ford,Principal Engineer,5,2,Gurugram,2308273,Robotics,Industrial,23,749,48,1,4,4.4,4,1,0,0,1,81,9,1,MEC|AID,SolidWorks|CATIA|ANSYS,7,18,93
269,1747169,Anand Naidu,CIC,2017,2021,Trend Micro,Staff Engineer,5,1,Gurugram,2934027,Cyber Security,Threat Intelligence,25,926,89,0,0,0.0,0,0,0,0,2,74,9,0,CIC|MEC,Python|Security|Blockchain,0,0,92
270,1705170,Anand Rao,CSE,2017,2021,Tech Mahindra,Senior Software Engineer,5,1,Bangalore,3173852,Software Engineering,Backend,25,787,101,1,2,4.7,1,1,0,0,0,82,6,1,CSE|ECE,Python|Java|React|AWS,5,10,90
271,1754171,Ramya Prasad,AID,2017,2021,Spotify,Senior Engineer,5,2,Delhi,2913194,Data Science,Analytics,16,843,53,1,2,5.0,2,3,2,0,1,86,8,0,AID|CSM,Python|Data Science|SQL|ML,5,24,95
272,1747172,Sneha Balaji,CIC,2017,2021,IBM Security,Senior Engineer,5,2,Mumbai,2521128,Security,Pentesting,12,333,0,0,0,0.0,0,0,0,0,1,88,9,0,CIC|CIV,Python|Security|Blockchain,8,0,95
273,1749173,Vivek Krishna,CSO,2017,2021,Cisco,Lead Engineer,5,1,Bangalore,2374073,IoT,Smart Cities,23,491,90,1,2,4.7,2,1,0,0,1,66,10,0,CSO|CSO,Python|IoT|Sensors|Edge,12,8,99
274,1747174,Harini Murthy,CIC,2017,2021,Palo Alto Networks,Senior Engineer,5,2,Bangalore,2573539,Cyber Security,Threat Intelligence,24,599,53,0,0,0.0,0,0,0,0,1,67,6,0,CIC|CSM,Python|Security|Blockchain,5,0,91
275,1703175,Kishore Patel,MEC,2017,2021,Daimler,Senior Software Engineer,5,1,Bangalore,2500003,Manufacturing,CAD/CAM,25,447,26,0,0,0.0,0,0,0,0,2,87,7,1,MEC|CIV,SolidWorks|CATIA|ANSYS,12,0,93
276,1747176,Mythili Patel,CIC,2017,2021,Fortinet,Senior Engineer,5,1,Delhi,2736090,Security,Pentesting,19,804,39,0,0,0.0,0,0,0,0,1,88,8,1,CIC|AIML,Python|Security|Blockchain,6,0,89
277,1705177,Kishore Krishnan,CSE,2017,2021,ServiceNow,Senior Engineer,5,1,Pune,3177889,DevOps,CI/CD,18,400,52,0,0,0.0,0,0,0,0,7,79,10,0,CSE|CIC,Python|Java|React|AWS,3,0,82
278,1712178,Arun Subramanian,IT,2017,2021,Capgemini,Senior Software Engineer,5,2,Hyderabad,2822499,Database,Oracle,24,753,146,1,5,4.4,3,0,0,0,4,85,6,1,IT|IT,Python|Kubernetes|Docker|AWS,8,24,89
279,1749179,Kishore Shetty,CSO,2017,2021,Rockwell,Lead Engineer,5,2,Mumbai,3144365,Edge Computing,IoT,19,439,7,1,2,4.1,4,1,0,0,3,81,10,1,CSO|AID,Python|IoT|Sensors|Edge,8,18,90
280,1749180,Sowmya Mohan,CSO,2017,2021,GE,Principal Engineer,5,1,Bangalore,2204692,IoT,Smart Cities,15,496,15,0,0,0.0,0,0,0,0,2,90,6,0,CSO|MEC,Python|IoT|Sensors|Edge,7,0,85
281,1701181,Vidya Shetty,CIV,2017,2021,Tata Projects,Staff Engineer,5,2,Pune,2652341,Construction,Project Management,24,376,87,0,0,0.0,0,0,0,0,0,81,6,1,CIV|CSE,AutoCAD|Staad Pro|Revit,5,0,98
282,1712182,Venkat Desai,IT,2017,2021,VMware,Lead Engineer,5,2,Mumbai,2750056,Networking,SDN,15,931,260,0,0,0.0,0,0,0,0,1,86,6,0,IT|CIV,Python|Kubernetes|Docker|AWS,12,0,97
283,1761183,Ganesh Prasad,AIML,2017,2021,Apple,Staff Engineer,5,2,Bangalore,2811946,ML Engineering,MLOps,14,414,61,1,2,4.6,4,1,0,0,1,95,7,0,AIML|CIV,Python|Deep Learning|PyTorch,5,12,97
284,1761184,Shalini Rao,AIML,2017,2021,Nvidia,Lead Engineer,5,1,Pune,3048167,ML Engineering,MLOps,23,937,260,1,2,4.9,4,1,0,0,0,80,6,0,AIML|CIV,Python|Deep Learning|PyTorch,5,14,97
285,1712185,Krishna Bhat,IT,2017,2021,Tech Mahindra,Principal Engineer,5,1,Bangalore,2900481,DevOps,Kubernetes,25,864,228,0,0,0.0,0,0,0,1,3,86,8,0,IT|IT,Python|Kubernetes|Docker|AWS,7,0,90
286,1702186,Lakshmi Rajan,EEE,2017,2021,Suzlon,Lead Engineer,5,2,Chennai,2586627,Power Systems,Grid,25,420,13,1,2,4.0,4,2,0,0,1,83,7,0,EEE|AIML,MATLAB|Power Systems|PLC,4,24,86
287,1712187,Pooja Murthy,IT,2017,2021,IBM,Senior Software Engineer,5,2,Hyderabad,2971006,Database,Oracle,21,511,264,0,0,0.0,0,0,0,0,0,68,9,0,IT|CSO,Python|Kubernetes|Docker|AWS,12,0,87
288,1754188,Ramesh Bhat,AID,2017,2021,Gramener,Lead Engineer,5,2,Bangalore,2976877,Data Science,ML Engineering,13,701,174,0,0,0.0,0,0,1,0,0,68,9,1,AID|AID,Python|Data Science|SQL|ML,4,0,82
289,1705189,Lakshmi Srinivas,CSE,2017,2021,Wipro,Principal Engineer,5,2,Mumbai,2687158,DevOps,CI/CD,22,426,119,1,2,4.3,4,3,0,0,14,91,7,1,CSE|CSM,Python|Java|React|AWS,3,16,83
290,1702190,Amit Bhat,EEE,2017,2021,GE,Senior Engineer,5,2,Pune,2531439,Power Systems,Grid,22,343,15,0,0,0.0,0,0,0,1,3,95,7,0,EEE|AID,MATLAB|Power Systems|PLC,12,0,98
291,1702191,Prakash Desai,EEE,2017,2021,Honeywell,Lead Engineer,5,2,Bangalore,3146115,Renewable,Solar,18,424,27,1,2,4.2,4,0,0,0,1,93,6,1,EEE|CSO,MATLAB|Power Systems|PLC,0,10,87
292,1701192,Kavya Singh,CIV,2017,2021,Arup,Principal Engineer,5,2,Delhi,3049352,Infrastructure,Roads,22,915,70,1,3,4.7,1,3,0,1,2,65,6,0,CIV|MEC,AutoCAD|Staad Pro|Revit,12,8,91
293,1747193,Priya Ramani,CIC,2017,2021,McAfee,Senior Software Engineer,5,1,Bangalore,2769658,Blockchain,Smart Contracts,16,411,29,1,1,4.8,3,2,0,0,3,82,10,0,CIC|CSM,Python|Security|Blockchain,4,12,82
294,1761194,Manoj Gupta,AIML,2017,2021,Apple,Lead Engineer,5,1,Pune,2570224,ML Engineering,MLOps,13,418,222,1,2,4.1,0,1,2,1,3,75,9,1,AIML|IT,Python|Deep Learning|PyTorch,5,16,91
295,1754195,Rekha Iyer,AID,2017,2021,Fractal,Lead Engineer,5,2,Chennai,3197319,Data Science,ML Engineering,20,967,176,0,0,0.0,0,0,2,0,3,79,7,1,AID|AIML,Python|Data Science|SQL|ML,12,0,92
296,1701196,Rajesh Ramani,CIV,2017,2021,NBCC,Principal Engineer,5,1,Hyderabad,2985923,Structural Design,Buildings,15,577,31,0,0,0.0,0,0,0,0,2,92,8,1,CIV|EEE,AutoCAD|Staad Pro|Revit,7,0,97
297,1747197,Sneha Pillai,CIC,2017,2021,McAfee,Staff Engineer,5,2,Gurugram,2976431,Security,Pentesting,19,546,28,1,1,4.5,3,2,0,0,2,71,7,0,CIC|MEC,Python|Security|Blockchain,4,18,92
298,1742198,Kishore Bhat,CSM,2017,2021,Nvidia,Lead Engineer,5,2,Hyderabad,2715757,AI,Computer Vision,13,907,71,1,3,4.5,3,3,0,0,0,94,7,0,CSM|EEE,Python|ML|TensorFlow|PyTorch,6,16,92
299,1701199,Lakshmi Mohan,CIV,2017,2021,NBCC,Principal Engineer,5,2,Bangalore,3071919,Structural Design,Buildings,22,680,100,1,5,4.9,2,1,0,0,0,66,10,0,CIV|EEE,AutoCAD|Staad Pro|Revit,5,24,91
300,1701200,Keerthi Nair,CIV,2017,2021,Jacobs,Senior Software Engineer,5,2,Mumbai,3128181,Infrastructure,Roads,25,437,45,0,0,0.0,0,0,0,0,3,90,7,0,CIV|IT,AutoCAD|Staad Pro|Revit,4,0,99
301,1704201,Keerthi Krishna,ECE,2017,2021,Nvidia,Senior Software Engineer,5,1,Gurugram,2524900,IC Design,Analog,19,931,15,1,5,4.7,2,0,0,0,3,74,9,0,ECE|IT,C|Verilog|VLSI|Embedded,4,24,84
302,1749202,Sanjay Desai,CSO,2017,2021,Tech Mahindra,Senior Engineer,5,2,Pune,3121759,IoT,Industrial,12,893,1,0,0,0.0,0,0,0,1,1,70,8,1,CSO|AID,Python|IoT|Sensors|Edge,10,0,82
303,1703203,Priya Subramanian,MEC,2017,2021,Tesla,Senior Engineer,5,1,Pune,2299556,Robotics,Industrial,21,734,47,0,0,0.0,0,0,0,0,2,69,8,1,MEC|MEC,SolidWorks|CATIA|ANSYS,8,0,94
304,1761204,Lakshmi Gopal,AIML,2017,2021,Uber,Principal Engineer,5,1,Hyderabad,2489105,AI,NLP,16,957,57,1,4,4.8,1,2,0,1,2,88,8,1,AIML|ECE,Python|Deep Learning|PyTorch,8,24,90
305,1742205,Ganesh Gopal,CSM,2017,2021,IBM Research,Staff Engineer,5,2,Chennai,2501311,AI Research,Machine Learning,19,467,244,1,5,4.5,2,3,0,0,2,73,8,1,CSM|ECE,Python|ML|TensorFlow|PyTorch,5,18,94
306,1754206,Santosh Sundaram,AID,2017,2021,Airbnb,Staff Engineer,5,2,Hyderabad,2945548,Data Science,ML Engineering,21,340,185,1,3,4.9,4,3,1,0,0,93,10,0,AID|IT,Python|Data Science|SQL|ML,10,12,82
307,1701207,Priya Murthy,CIV,2017,2021,Fluor,Lead Engineer,5,2,Delhi,3125198,Construction,Project Management,16,312,49,0,0,0.0,0,0,0,0,0,85,10,0,CIV|IT,AutoCAD|Staad Pro|Revit,0,0,85
308,1702208,Harish Gupta,EEE,2017,2021,Mitsubishi Electric,Senior Engineer,5,2,Noida,2933567,Automation,PLC,16,582,56,1,4,4.3,2,0,0,0,3,80,10,0,EEE|CIC,MATLAB|Power Systems|PLC,8,20,98
309,1749209,Prakash Rao,CSO,2017,2021,Rockwell,Senior Engineer,5,1,Noida,2728656,Embedded IoT,Sensors,14,845,16,0,0,0.0,0,0,0,0,1,84,6,0,CSO|CSE,Python|IoT|Sensors|Edge,6,0,92
310,1747210,Ramya Swamy,CIC,2017,2021,IBM Security,Staff Engineer,5,2,Gurugram,3099242,Cyber Security,Threat Intelligence,14,556,93,0,0,0.0,0,0,0,0,0,95,7,1,CIC|CSO,Python|Security|Blockchain,12,0,89
311,1747211,Deepak Swamy,CIC,2017,2021,IBM Security,Lead Engineer,5,2,Noida,2848247,Cyber Security,Threat Intelligence,18,799,46,0,0,0.0,0,0,0,0,2,84,9,1,CIC|CIC,Python|Security|Blockchain,5,0,93
312,1701212,Anjali Naidu,CIV,2017,2021,Gammon India,Lead Engineer,5,2,Delhi,2209067,Construction,Project Management,19,597,51,0,0,0.0,0,0,0,0,2,72,9,0,CIV|EEE,AutoCAD|Staad Pro|Revit,10,0,88
313,1702213,Rajesh Prasad,EEE,2017,2021,Honeywell,Principal Engineer,5,2,Bangalore,2758553,Renewable,Solar,22,673,100,0,0,0.0,0,0,0,0,0,69,7,1,EEE|EEE,MATLAB|Power Systems|PLC,4,0,83
314,1749214,Amit Subramanian,CSO,2017,2021,Emerson,Principal Engineer,5,2,Hyderabad,3081608,IoT,Smart Cities,21,643,51,1,2,4.3,3,0,0,0,2,95,8,0,CSO|IT,Python|IoT|Sensors|Edge,0,14,93
315,1705215,Swathi Swamy,CSE,2017,2021,Google,Senior Software Engineer,5,2,Mumbai,3113489,DevOps,CI/CD,18,702,166,1,4,4.3,3,2,0,0,10,73,8,0,CSE|CSO,Python|Java|React|AWS,7,10,90
316,1701216,Venkat Iyer,CIV,2017,2021,AECOM,Senior Engineer,5,2,Bangalore,2378535,Construction,Project Management,18,836,5,1,3,4.2,0,3,0,0,1,95,6,0,CIV|CSO,AutoCAD|Staad Pro|Revit,6,12,90
317,1705217,Harini Krishna,CSE,2017,2021,Zoho,Principal Engineer,5,1,Mumbai,2601841,Software Engineering,Backend,18,827,89,1,3,4.0,0,3,0,0,14,77,8,0,CSE|AIML,Python|Java|React|AWS,0,12,95
318,1705218,Sowmya Reddy,CSE,2017,2021,TCS,Staff Engineer,5,1,Hyderabad,3152794,Cloud Engineering,AWS,14,564,114,1,1,4.3,2,1,0,0,13,86,10,1,CSE|IT,Python|Java|React|AWS,4,12,91
319,1754219,Rekha Nair,AID,2017,2021,Spotify,Senior Engineer,5,2,Pune,2280847,Data Engineering,Pipelines,21,460,258,1,3,4.2,4,1,0,0,0,66,7,1,AID|AID,Python|Data Science|SQL|ML,5,24,87
320,1702220,Krishna Iyer,EEE,2017,2021,Siemens,Senior Software Engineer,5,2,Noida,2263634,Automation,PLC,23,772,93,1,3,5.0,0,3,0,0,3,77,7,0,EEE|MEC,MATLAB|Power Systems|PLC,7,10,97
321,1701221,Pooja Sharma,CIV,2017,2021,NCC,Principal Engineer,5,1,Gurugram,2623943,Infrastructure,Roads,21,345,21,1,1,4.5,4,3,0,0,1,92,10,0,CIV|ECE,AutoCAD|Staad Pro|Revit,4,8,84
322,1742222,Kishore Verma,CSM,2017,2021,Uber,Staff Engineer,5,2,Hyderabad,2431464,Data Science,ML,24,895,126,1,4,4.2,3,0,1,0,1,80,10,1,CSM|CSE,Python|ML|TensorFlow|PyTorch,6,20,94
323,1742223,Rahul Pillai,CSM,2017,2021,Microsoft Research,Senior Engineer,5,2,Mumbai,2645239,AI,NLP,16,388,108,1,1,4.5,4,0,2,0,1,90,9,1,CSM|CSO,Python|ML|TensorFlow|PyTorch,8,10,92
324,1704224,Harish Srinivas,ECE,2017,2021,Nvidia,Senior Software Engineer,5,1,Gurugram,2534923,IC Design,Analog,25,640,48,0,0,0.0,0,0,0,1,0,82,10,1,ECE|CSM,C|Verilog|VLSI|Embedded,5,0,97
325,1749225,Padma Sundaram,CSO,2017,2021,Cisco,Senior Engineer,5,2,Bangalore,2226387,IoT,Industrial,15,649,83,0,0,0.0,0,0,0,0,2,93,10,0,CSO|CIC,Python|IoT|Sensors|Edge,8,0,89
326,1849001,Srikanth Murthy,CSO,2018,2022,LG Soft,Senior Engineer,4,1,Gurugram,1625541,IoT,Industrial,21,977,8,1,4,4.1,3,2,0,0,3,78,6,1,CSO|AID,Python|IoT|Sensors|Edge,0,24,95
327,1803002,Anjali Krishna,MEC,2018,2022,GE,Software Engineer,4,1,Mumbai,2128794,Manufacturing,CAD/CAM,17,771,87,1,1,4.1,2,2,0,0,3,88,7,1,MEC|CSO,SolidWorks|CATIA|ANSYS,8,16,96
328,1842003,Harish Desai,CSM,2018,2022,Nvidia,Software Engineer,4,2,Hyderabad,2124934,AI Research,Machine Learning,19,821,270,0,0,0.0,0,0,0,0,0,65,9,1,CSM|CSM,Python|ML|TensorFlow|PyTorch,0,0,93
329,1802004,Ravi Balaji,EEE,2018,2022,Tesla,Software Engineer,4,2,Noida,1811543,Renewable,Solar,16,942,8,1,4,4.7,0,3,0,1,0,79,7,0,EEE|CIV,MATLAB|Power Systems|PLC,0,16,91
330,1849005,Ashok Nair,CSO,2018,2022,Emerson,Senior Engineer,4,1,Bangalore,2018913,Embedded IoT,Sensors,14,811,32,0,0,0.0,0,0,0,0,1,70,10,0,CSO|ECE,Python|IoT|Sensors|Edge,5,0,95
331,1849006,Ajay Krishnan,CSO,2018,2022,Tata Elxsi,Engineer,4,2,Noida,1673280,IoT,Smart Cities,14,343,57,1,3,4.3,1,1,0,0,0,90,10,0,CSO|EEE,Python|IoT|Sensors|Edge,8,18,85
332,1801007,Shalini Nair,CIV,2018,2022,GMR,Senior Engineer,4,1,Chennai,1738058,Structural Design,Buildings,23,407,80,1,4,5.0,2,3,0,0,1,79,8,1,CIV|IT,AutoCAD|Staad Pro|Revit,8,14,89
333,1849008,Naveen Balaji,CSO,2018,2022,Cisco,Senior Engineer,4,1,Mumbai,2186226,Edge Computing,IoT,20,712,70,1,5,4.3,3,2,0,0,0,88,8,1,CSO|MEC,Python|IoT|Sensors|Edge,3,14,89
334,1861009,Sneha Krishna,AIML,2018,2022,DeepMind,Senior Engineer,4,1,Chennai,2161643,AI,NLP,22,388,184,0,0,0.0,0,0,2,0,2,94,7,0,AIML|CSM,Python|Deep Learning|PyTorch,12,0,92
335,1802010,Mahesh Mohan,EEE,2018,2022,SolarEdge,Engineer,4,1,Mumbai,2252308,Automation,PLC,16,606,21,1,2,4.7,4,3,0,0,0,72,7,0,EEE|CIV,MATLAB|Power Systems|PLC,0,20,89
336,1802011,Ashok Mohan,EEE,2018,2022,Schneider Electric,Senior Engineer,4,2,Delhi,2073204,Automation,PLC,24,846,46,0,0,0.0,0,0,0,0,3,68,8,0,EEE|CIV,MATLAB|Power Systems|PLC,3,0,95
337,1849012,Arun Bhat,CSO,2018,2022,IBM,Engineer,4,2,Hyderabad,2222078,Embedded IoT,Sensors,25,604,10,0,0,0.0,0,0,0,0,3,71,7,0,CSO|CSM,Python|IoT|Sensors|Edge,3,0,93
338,1854013,Vinay Krishna,AID,2018,2022,LinkedIn,Software Engineer,4,1,Chennai,1784914,Data Science,Analytics,20,746,296,1,1,4.9,0,2,1,0,3,69,7,0,AID|CSM,Python|Data Science|SQL|ML,8,8,87
339,1812014,Saranya Gupta,IT,2018,2022,Red Hat,Senior Engineer,4,1,Hyderabad,2156740,System Administration,Linux,17,869,279,0,0,0.0,0,0,0,0,5,93,10,1,IT|ECE,Python|Kubernetes|Docker|AWS,3,0,85
340,1812015,Prakash Nair,IT,2018,2022,HCL,Senior Engineer,4,1,Gurugram,2091286,System Administration,Linux,13,771,161,1,1,4.7,4,0,0,0,11,71,6,1,IT|CSO,Python|Kubernetes|Docker|AWS,5,8,86
341,1804016,Vasudha Naidu,ECE,2018,2022,Marvell,Engineer,4,1,Mumbai,2316452,Wireless,5G,18,304,74,1,3,4.5,3,1,0,0,3,94,9,0,ECE|CSE,C|Verilog|VLSI|Embedded,5,20,90
342,1804017,Rahul Rajan,ECE,2018,2022,Nvidia,Engineer,4,1,Gurugram,2316236,Embedded,IoT,24,307,12,1,1,4.5,2,0,0,0,0,75,9,0,ECE|CSE,C|Verilog|VLSI|Embedded,3,20,86
343,1842018,Venkat Reddy,CSM,2018,2022,Tesla,Engineer,4,2,Chennai,1667913,AI Research,Machine Learning,25,347,245,0,0,0.0,0,0,2,0,1,85,6,1,CSM|IT,Python|ML|TensorFlow|PyTorch,12,0,86
344,1804019,Keerthi Mohan,ECE,2018,2022,Marvell,Software Engineer,4,2,Delhi,2020327,Wireless,5G,12,707,24,1,5,4.9,3,2,0,0,1,81,10,0,ECE|CSE,C|Verilog|VLSI|Embedded,0,8,95
345,1802020,Srikanth Rajan,EEE,2018,2022,Havells,Senior Engineer,4,2,Hyderabad,2396523,Power Systems,Grid,22,326,35,0,0,0.0,0,0,0,0,2,81,10,1,EEE|AID,MATLAB|Power Systems|PLC,6,0,82
346,1842021,Rahul Iyer,CSM,2018,2022,Tesla,Senior Engineer,4,1,Hyderabad,1916830,Data Science,ML,16,868,125,0,0,0.0,0,0,1,0,1,89,6,0,CSM|EEE,Python|ML|TensorFlow|PyTorch,4,0,89
347,1847022,Prasad Sharma,CIC,2018,2022,Sophos,Software Engineer,4,1,Noida,2291761,Blockchain,Smart Contracts,20,409,93,1,3,5.0,3,3,0,0,0,86,8,0,CIC|MEC,Python|Security|Blockchain,0,24,97
348,1812023,Anjali Mohan,IT,2018,2022,Oracle,Senior Engineer,4,1,Noida,1871411,Networking,SDN,20,632,225,1,2,4.6,4,0,0,0,14,84,7,0,IT|CIC,Python|Kubernetes|Docker|AWS,4,20,87
349,1842024,Harish Pillai,CSM,2018,2022,Google AI,Software Engineer,4,2,Mumbai,1655866,AI Research,Machine Learning,21,871,51,0,0,0.0,0,0,0,0,3,75,7,1,CSM|CIC,Python|ML|TensorFlow|PyTorch,0,0,98
350,1842025,Mythili Sharma,CSM,2018,2022,Amazon,Senior Engineer,4,2,Gurugram,1817482,Data Science,ML,18,424,292,1,2,4.5,0,2,2,0,2,81,9,1,CSM|ECE,Python|ML|TensorFlow|PyTorch,4,20,89
351,1849026,Saranya Krishnan,CSO,2018,2022,Schneider,Software Engineer,4,2,Delhi,1610749,Edge Computing,IoT,21,893,48,1,1,4.7,2,2,0,0,2,88,10,0,CSO|CIV,Python|IoT|Sensors|Edge,6,24,88
352,1849027,Akshara Desai,CSO,2018,2022,GE,Software Engineer,4,2,Delhi,2381420,Edge Computing,IoT,25,569,34,0,0,0.0,0,0,0,0,3,65,7,0,CSO|IT,Python|IoT|Sensors|Edge,8,0,89
353,1804028,Saranya Rajan,ECE,2018,2022,Apple,Engineer,4,2,Hyderabad,2138760,Embedded,IoT,20,593,68,0,0,0.0,0,0,0,0,1,89,9,1,ECE|CIC,C|Verilog|VLSI|Embedded,8,0,98
354,1801029,Sahana Swamy,CIV,2018,2022,L&T,Engineer,4,1,Delhi,2023459,Construction,Project Management,24,695,9,0,0,0.0,0,0,0,0,1,93,10,1,CIV|MEC,AutoCAD|Staad Pro|Revit,0,0,82
355,1854030,Archana Naidu,AID,2018,2022,Twitter,Software Engineer,4,2,Chennai,2374180,Data Science,Analytics,24,991,122,0,0,0.0,0,0,1,0,2,92,6,0,AID|CIV,Python|Data Science|SQL|ML,5,0,95
356,1803031,Deepak Balaji,MEC,2018,2022,Tata Motors,Software Engineer,4,2,Hyderabad,1889231,Robotics,Industrial,20,611,97,1,4,4.4,2,1,0,0,1,78,7,1,MEC|AID,SolidWorks|CATIA|ANSYS,5,24,96
357,1802032,Harini Balaji,EEE,2018,2022,Alstom,Engineer,4,2,Delhi,1602225,Power Systems,Grid,16,881,84,0,0,0.0,0,0,0,0,3,79,8,0,EEE|AIML,MATLAB|Power Systems|PLC,5,0,92
